x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
-124.95,0.0002941666666666667,0.0003088203514093943,0.0002959464291897063,-1.4653684742727577e-05,0.009708411472937904,0.009708411472937904,0.009633589988482096,0.0009316295106605706,22.864873710248034,9.96290400126091e-06,2.894860380657688e-06,1.615783776937384e-08
-124.9,0.0002866666666666667,0.00030881222565795147,0.0002959291980326622,-2.214555899128479e-05,0.00971527799136928,0.00971527799136928,0.009640351039145532,0.0009322827377619355,22.880905786310365,9.970273876477159e-06,2.8965871411840948e-06,1.6166607628033967e-08
-124.85,0.00028416666666666667,0.0003088041187874845,0.0002959119760483651,-2.4637452120817823e-05,0.00972215183091677,0.00972215183091677,0.009647119224650363,0.000932936653349087,22.896954759798525,9.977651910533639e-06,2.898315443957274e-06,1.6175384628446567e-08
-124.8,0.00029499999999999996,0.00030879603081184934,0.00029589476323681505,-1.3796030811849384e-05,0.009729033002029508,0.009729033002029508,0.009653894555050151,0.0009335912583906535,22.913020654485457,9.985038115445453e-06,2.900045290810526e-06,1.6184168778368154e-08
-124.75,0.000305,0.00030878796174492717,0.0002958775595980119,-3.7879617449271827e-06,0.00973592151517533,0.00973592151517533,0.00966067704041617,0.0009342465538569667,22.92910349418589,9.992432503249779e-06,2.9017766835798742e-06,1.6192960085565795e-08
-124.7,0.00030250000000000003,0.0003087799116006237,0.0002958603651319559,-6.27991160062364e-06,0.009742817380840813,0.009742817380840813,0.00966746669083746,0.0009349025407200671,22.94520330275651,9.999835086005907e-06,2.9035096241040605e-06,1.6201758557817085e-08
-124.65,0.00028083333333333346,0.0003087718803928696,0.00029584317983864686,-2.7938547059536156e-05,0.009749720609531312,0.009749720609531312,0.009674263516420844,0.0009355592199537049,22.961320104095943,1.000724587579529e-05,2.9052441142245614e-06,1.6210564202910222e-08
-124.6,0.0002675000000000001,0.0003087638681356206,0.0002958260037180848,-4.126386813562051e-05,0.009756631211771002,0.009756631211771002,0.009681067527290976,0.0009362165925333453,22.977453922144925,1.0014664884721598e-05,2.906980155785583e-06,1.6219377028643967e-08
-124.55,0.00027666666666666665,0.0003087558748428575,0.0002958088367702698,-3.208920817619087e-05,0.009763549198102912,0.009763549198102912,0.00968787873359038,0.0009368746594361718,22.993604780886347,1.0022092124910748e-05,2.9087177506340702e-06,1.622819704282767e-08
-124.5,0.0002899999999999999,0.0003087479005285858,0.0002957916789952018,-1.8747900528585893e-05,0.00977047457908898,0.00977047457908898,0.009694697145479481,0.0009375334216410895,23.009772704345373,1.0029527608510976e-05,2.910456900619714e-06,1.6237024253281333e-08
-124.45,0.0003016666666666665,0.00030873994520683645,0.0002957745303928808,-7.073278540169951e-06,0.009777407365310077,0.009777407365310077,0.009701522773136646,0.0009381928801287288,23.02595771658949,1.0036971347692879e-05,2.9121976075949506e-06,1.6245858667835563e-08
