x,y
-124.95,0.0002941666666666667
-124.9,0.0002866666666666667
-124.85,0.00028416666666666667
-124.8,0.00029499999999999996
-124.75,0.000305
-124.7,0.00030250000000000003
-124.65,0.00028083333333333346
-124.6,0.0002675000000000001
-124.55,0.00027666666666666665
-124.5,0.0002899999999999999
-124.45,0.0003016666666666665
-124.4,0.00028749999999999983
-124.35,0.00030166666666666666
-124.3,0.0002991666666666666
-124.25,0.00032583333333333336
-124.2,0.00032249999999999987
-124.15,0.00031083333333333337
-124.1,0.0003066666666666666
-124.05,0.0002975
-124.0,0.0003066666666666666
-123.95,0.00028916666666666674
-123.9,0.00029249999999999995
-123.85,0.0003016666666666665
-123.8,0.0003116666666666664
-123.75,0.0003033333333333334
-123.7,0.00028750000000000016
-123.65,0.00028000000000000014
-123.6,0.00029166666666666637
-123.55,0.00029833333333333274
-123.5,0.0003116666666666661
-123.45,0.00029916666666666633
-123.4,0.0003074999999999999
-123.35,0.0003091666666666665
-123.3,0.0003066666666666663
-123.25,0.00028416666666666635
-123.2,0.0002691666666666664
-123.15,0.000255
-123.1,0.00025416666666666643
-123.05,0.0002566666666666666
-123.0,0.0002691666666666664
-122.95,0.00028333333333333335
-122.9,0.00027416666666666675
-122.85,0.00028000000000000014
-122.8,0.000276666666666667
-122.75,0.00029416666666666653
-122.7,0.0003041666666666667
-122.65,0.00029249999999999995
-122.6,0.0003083333333333335
-122.55,0.0003025000000000001
-122.5,0.0003216666666666669
-122.45,0.0002858333333333335
-122.4,0.00027500000000000034
-122.35,0.0002566666666666666
-122.3,0.00026916666666666696
-122.25,0.00027916666666666715
-122.2,0.0003066666666666669
-122.15,0.0003074999999999999
-122.1,0.00030333333333333254
-122.05,0.00028916666666666674
-122.0,0.00028833333333333375
-121.95,0.00029916666666666747
-121.9,0.0003008333333333335
-121.85,0.0003058333333333327
-121.8,0.0003099999999999989
-121.75,0.0003158333333333323
-121.7,0.0003091666666666659
-121.65,0.00029833333333333334
-121.6,0.00028916666666666674
-121.55,0.0002875000000000007
-121.5,0.00028333333333333335
-121.45,0.0002858333333333335
-121.4,0.0003058333333333327
-121.35,0.0003091666666666659
